# x	y	u	v	flags	mask
2.8699e+00	3.0874e+00	6.7520e-01	-1.7326e+00	0.0000e+00	0.0000e+00
3.0874e+00	3.0874e+00	4.2120e-01	-1.4671e+00	0.0000e+00	0.0000e+00
3.3050e+00	3.0874e+00	2.1993e-01	-1.2672e+00	1.0000e+00	0.0000e+00
3.5226e+00	3.0874e+00	1.9079e-01	-1.0686e+00	0.0000e+00	0.0000e+00
3.7402e+00	3.0874e+00	1.3726e-01	-9.7310e-01	0.0000e+00	0.0000e+00
3.9577e+00	3.0874e+00	8.6692e-02	-8.7650e-01	0.0000e+00	0.0000e+00
4.1753e+00	3.0874e+00	9.0540e-02	-7.7303e-01	0.0000e+00	0.0000e+00
4.3929e+00	3.0874e+00	5.6930e-02	-7.3174e-01	0.0000e+00	0.0000e+00
4.6104e+00	3.0874e+00	3.5609e-02	-6.6315e-01	0.0000e+00	0.0000e+00
4.8280e+00	3.0874e+00	4.3745e-02	-6.0357e-01	0.0000e+00	0.0000e+00
5.0456e+00	3.0874e+00	1.9050e-02	-5.3090e-01	0.0000e+00	0.0000e+00
2.5901e-01	2.8699e+00	7.1836e-02	9.2939e-01	0.0000e+00	0.0000e+00
4.7659e-01	2.8699e+00	7.3920e-02	1.0258e+00	0.0000e+00	0.0000e+00
6.9416e-01	2.8699e+00	5.6426e-02	1.1751e+00	0.0000e+00	0.0000e+00
9.1173e-01	2.8699e+00	1.2707e-01	1.4444e+00	0.0000e+00	0.0000e+00
1.1293e+00	2.8699e+00	1.7119e-01	1.6866e+00	0.0000e+00	0.0000e+00
1.3469e+00	2.8699e+00	2.9818e-01	2.1872e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.8699e+00	5.8723e-01	3.0085e+00	0.0000e+00	0.0000e+00
1.7820e+00	2.8699e+00	1.4480e-01	9.0875e-01	1.0000e+00	0.0000e+00
1.9996e+00	2.8699e+00	1.1523e-01	4.0973e-01	1.0000e+00	0.0000e+00
2.2172e+00	2.8699e+00	8.0195e-02	-7.8837e-02	1.0000e+00	0.0000e+00
